symbol1,symbol2,company_name1,company_name2,sector1,sector2,subsector1,subsector2,segment1,segment2,correlation_group,same_subsector,correlation,n_obs,classification_version
CMIG4,ELET3,CEMIG,ELETROBRAS,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Distribution,Generation and Transmission,Within-sector,True,0.5862917089066962,6851,initial macro-sector classification
CSNA3,VALE3,CSN,VALE,Basic Materials,Basic Materials,Steel and Metallurgy,Mining,Steel,Minerals,Within-sector,False,0.5743833554948262,6854,initial macro-sector classification
CPLE6,ELET6,COPEL,ELETROBRAS,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Distribution,Generation and Transmission,Within-sector,True,0.5716893760153287,6852,initial macro-sector classification
BBAS3,BBDC3,BANCO DO BRASIL,BRADESCO,Financials,Financials,Banks,Banks,Banks,Banks,Within-sector,True,0.5698671382607154,6879,initial macro-sector classification
GGBR3,USIM5,GERDAU,USIMINAS,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,Steel,Steel,Within-sector,True,0.5696569516422791,5682,initial macro-sector classification
CPLE6,ELET3,COPEL,ELETROBRAS,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Distribution,Generation and Transmission,Within-sector,True,0.559605720332513,6852,initial macro-sector classification
CMIG3,CPLE6,CEMIG,COPEL,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Distribution,Generation and Distribution,Within-sector,True,0.5494053402552964,6846,initial macro-sector classification
BRAP4,GGBR3,BRADESPAR,GERDAU,Basic Materials,Basic Materials,Mining,Steel and Metallurgy,Holdings,Steel,Within-sector,False,0.5477142405066278,5682,initial macro-sector classification
BRAP4,USIM5,BRADESPAR,USIMINAS,Basic Materials,Basic Materials,Mining,Steel and Metallurgy,Holdings,Steel,Within-sector,False,0.5456308082517173,6291,initial macro-sector classification
GOAU4,VALE3,METALURGICA GERDAU,VALE,Basic Materials,Basic Materials,Steel and Metallurgy,Mining,Holdings,Minerals,Within-sector,False,0.5397042724414834,6856,initial macro-sector classification
GGBR3,VALE3,GERDAU,VALE,Basic Materials,Basic Materials,Steel and Metallurgy,Mining,Steel,Minerals,Within-sector,False,0.5393400956390928,5682,initial macro-sector classification
GOAU3,USIM5,METALURGICA GERDAU,USIMINAS,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,Holdings,Steel,Within-sector,True,0.5379417826747085,5770,initial macro-sector classification
CSNA3,GOAU3,CSN,METALURGICA GERDAU,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,Steel,Holdings,Within-sector,True,0.5285366961891939,5851,initial macro-sector classification
BRAP4,GOAU3,BRADESPAR,METALURGICA GERDAU,Basic Materials,Basic Materials,Mining,Steel and Metallurgy,Holdings,Holdings,Within-sector,False,0.5257497462390327,5538,initial macro-sector classification
CMIG3,ELET6,CEMIG,ELETROBRAS,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Distribution,Generation and Transmission,Within-sector,True,0.5252545852128077,6846,initial macro-sector classification
CMIG4,CPLE3,CEMIG,COPEL,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Distribution,Generation and Distribution,Within-sector,True,0.5232705275310009,6786,initial macro-sector classification
BRAP3,GGBR4,BRADESPAR,GERDAU,Basic Materials,Basic Materials,Mining,Steel and Metallurgy,Holdings,Steel,Within-sector,False,0.5216301443667548,6093,initial macro-sector classification
CMIG3,ELET3,CEMIG,ELETROBRAS,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Distribution,Generation and Transmission,Within-sector,True,0.5203171148708323,6846,initial macro-sector classification
CPFE3,CPLE6,CPFL ENERGIA,COPEL,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Distribution,Generation and Distribution,Within-sector,True,0.5120706147656747,5230,initial macro-sector classification
BRAP3,CSNA3,BRADESPAR,CSN,Basic Materials,Basic Materials,Mining,Steel and Metallurgy,Holdings,Steel,Within-sector,False,0.5118517194050057,6210,initial macro-sector classification
BRAP3,GOAU4,BRADESPAR,METALURGICA GERDAU,Basic Materials,Basic Materials,Mining,Steel and Metallurgy,Holdings,Holdings,Within-sector,False,0.509184136152997,6210,initial macro-sector classification
CPLE6,SBSP3,COPEL,SABESP,Utilities,Utilities,Electric Utility,Water and Sanitation,Generation and Distribution,Water and Sanitation,Within-sector,False,0.5086178268569365,6852,initial macro-sector classification
CMIG4,SBSP3,CEMIG,SABESP,Utilities,Utilities,Electric Utility,Water and Sanitation,Generation and Distribution,Water and Sanitation,Within-sector,False,0.4992896681788654,6885,initial macro-sector classification
CMIG4,CPFE3,CEMIG,CPFL ENERGIA,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Distribution,Generation and Distribution,Within-sector,True,0.4989005045700054,5264,initial macro-sector classification
USIM5,VALE3,USIMINAS,VALE,Basic Materials,Basic Materials,Steel and Metallurgy,Mining,Steel,Minerals,Within-sector,False,0.4918237252723063,6660,initial macro-sector classification
CSNA3,USIM3,CSN,USIMINAS,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,Steel,Steel,Within-sector,True,0.4844712469400927,6005,initial macro-sector classification
GGBR4,USIM3,GERDAU,USIMINAS,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,Steel,Steel,Within-sector,True,0.4821818749117773,5765,initial macro-sector classification
CMIG3,CPLE3,CEMIG,COPEL,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Distribution,Generation and Distribution,Within-sector,True,0.4810232388539258,6781,initial macro-sector classification
BRAP3,GGBR3,BRADESPAR,GERDAU,Basic Materials,Basic Materials,Mining,Steel and Metallurgy,Holdings,Steel,Within-sector,False,0.4769830991929238,5602,initial macro-sector classification
CPLE3,ELET6,COPEL,ELETROBRAS,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Distribution,Generation and Transmission,Within-sector,True,0.4757025503780365,6753,initial macro-sector classification
